StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3_1,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q12_1,Q12_2,Q10_1,Q10_2,Q10_3,Q10_4,Q5_1,Q5_2,Q5_3,Q11_1
2026-08-03 13:56:33,2026-08-03 14:03:21,IP Address,92.40.193.174,100,407,True,2026-08-03 14:03:22,R_8Qtdje1Bt7GfDRV,,,,,55.867,-4.2621,anonymous,EN-GB,49,Control - Hearing sound itself without any visualisations,1,15,13,9,11,13,14,11,12,5,6,3,4,6,5,5,5
2026-08-03 14:03:24,2026-08-03 14:11:41,IP Address,92.40.193.174,100,497,True,2026-08-03 14:11:41,R_2NdSBVMGvB3ZZG9,,,,,55.867,-4.2621,anonymous,EN-GB,49,Lights,2,12,11,9,12,11,12,13,13,5,4,5,3,4,4,4,5
2026-08-03 14:11:44,2026-08-03 14:16:13,IP Address,92.40.193.177,100,268,True,2026-08-03 14:16:13,R_2VjD8BZkl2F4JuF,,,,,55.867,-4.2621,anonymous,EN-GB,49,Lights and Radar,2,12,10,9,14,12,11,13,13,5,3,5,3,5,4,4,6
2026-08-03 14:16:16,2026-08-03 14:19:41,IP Address,92.40.193.174,100,205,True,2026-08-03 14:19:42,R_8Nyy5oSW1iipp9k,,,,,55.867,-4.2621,anonymous,EN-GB,49,Arrow,3,17,16,9,11,15,16,12,12,2,6,3,5,6,5,5,5
2026-08-03 14:20:01,2026-08-03 14:23:22,IP Address,92.40.193.177,100,201,True,2026-08-03 14:23:23,R_2BXMM48pfToKrfj,,,,,55.867,-4.2621,anonymous,EN-GB,49,Arrow and Radar,2,14,13,9,13,12,14,14,14,3,4,3,5,5,4,4,5
2026-08-03 14:23:36,2026-08-03 14:26:18,IP Address,92.40.193.183,100,161,True,2026-08-03 14:26:18,R_8pYiawp2azaj58k,,,,,55.867,-4.2621,anonymous,EN-GB,49,Radar,2,14,12,8,14,12,13,13,14,3,4,4,3,4,3,3,6
2026-08-03 14:51:17,2026-08-03 15:26:51,IP Address,130.209.157.54,100,2133,True,2026-08-03 15:26:51,R_8esdcuqQu0f3uAY,,,,,55.867,-4.3056,anonymous,EN-GB,6,Arrow and Radar,2,7,4,0,14,8,0,19,20,7,1,7,1,1,6,1,7
2026-08-03 15:29:25,2026-08-03 15:35:01,IP Address,130.209.157.54,100,335,True,2026-08-03 15:35:01,R_80w4leAoz9GCJ6F,,,,,55.867,-4.3056,anonymous,EN-GB,6,Lights and Radar,1,11,13,0,20,15,6,20,20,5,4,3,5,3,5,2,5
2026-08-03 15:35:23,2026-08-03 15:40:27,IP Address,130.209.157.54,100,304,True,2026-08-03 15:40:28,R_2ipDMsEZ3eQIU1j,,,,,55.867,-4.3056,anonymous,EN-GB,6,Radar,4,13,13,4,20,14,4,20,20,4,5,3,6,6,6,5,3
2026-08-03 15:42:05,2026-08-03 15:46:29,IP Address,130.209.157.54,100,264,True,2026-08-03 15:46:29,R_8duZ1W3uG7mlSdX,,,,,55.867,-4.3056,anonymous,EN-GB,6,Control - Hearing sound itself without any visualisations,4,12,13,6,20,11,7,20,19,5,4,3,5,5,7,6,3
2026-08-03 15:47:19,2026-08-03 15:50:39,IP Address,130.209.157.54,100,200,True,2026-08-03 15:50:40,R_8qERtPClPA1ggQ7,,,,,55.867,-4.3056,anonymous,EN-GB,6,Arrow,4,12,15,6,20,17,5,20,20,2,6,2,5,5,4,2,3
2026-08-03 15:51:09,2026-08-03 15:54:18,IP Address,130.209.157.54,100,189,True,2026-08-03 15:54:19,R_2CPJMcxtsE6GCpq,,,,,55.867,-4.3056,anonymous,EN-GB,6,Arrow and Lights,4,10,12,2,17,17,11,16,19,3,6,3,2,5,6,4,3
2026-08-03 15:54:44,2026-08-03 15:58:23,IP Address,130.209.157.54,100,219,True,2026-08-03 15:58:24,R_8fJngRTtpRtd9nY,,,,,55.867,-4.3056,anonymous,EN-GB,6,Lights,3,8,6,3,18,17,3,20,20,4,5,3,2,2,4,3,3
2026-08-03 17:06:02,2026-08-03 17:18:20,IP Address,130.209.157.52,100,737,True,2026-08-03 17:18:20,R_8flrWapMrNvWjZb,,,,,55.867,-4.3056,anonymous,EN-GB,51,Arrow,2,7,0,11,12,12,1,12,10,5,3,4,4,4,4,4,5
2026-08-03 17:20:42,2026-08-03 17:28:17,IP Address,130.209.157.52,100,455,True,2026-08-03 17:28:18,R_2dzhfF4DOrMhch3,,,,,55.867,-4.3056,anonymous,EN-GB,51,Lights,5,14,8,13,13,14,11,10,10,5,5,4,4,6,3,4,5
2026-08-03 17:32:42,2026-08-03 17:40:43,IP Address,130.209.157.52,100,481,True,2026-08-03 17:40:44,R_2WxrKvhTMbtaGdz,,,,,55.867,-4.3056,anonymous,EN-GB,51,Radar,6,16,15,13,11,16,12,13,12,5,6,3,5,6,3,4,5
2026-08-03 17:43:47,2026-08-03 17:47:10,IP Address,130.209.157.52,100,202,True,2026-08-03 17:47:10,R_81iw4Ua7o8WBef2,,,,,55.867,-4.3056,anonymous,EN-GB,51,Arrow and Lights,4,8,11,11,13,11,10,11,11,5,4,4,4,5,4,4,5
2026-08-03 17:47:59,2026-08-03 17:52:25,IP Address,130.209.157.52,100,265,True,2026-08-03 17:52:25,R_8rxxkkpxwM8CWwq,,,,,55.867,-4.3056,anonymous,EN-GB,51,Arrow and Radar,7,12,12,13,11,15,12,11,12,3,5,5,5,5,4,4,4
2026-08-03 17:53:44,2026-08-03 18:00:22,IP Address,130.209.157.52,100,397,True,2026-08-03 18:00:22,R_8htGIW77KrcLX4F,,,,,55.867,-4.3056,anonymous,EN-GB,51,Control - Hearing sound itself without any visualisations,7,15,11,13,6,10,12,8,9,4,4,4,4,5,5,4,2
2026-08-03 18:01:22,2026-08-03 18:07:46,IP Address,130.209.157.52,100,383,True,2026-08-03 18:07:47,R_2Af8ijzrQYdr5XX,,,,,55.867,-4.3056,anonymous,EN-GB,51,Lights and Radar,9,16,14,16,8,16,16,8,7,5,3,5,5,6,3,4,4
2026-08-04 09:36:28,2026-08-04 10:23:59,IP Address,130.209.157.52,100,2851,True,2026-08-04 10:23:59,R_23dvi9kyQxf7rHJ,,,,,55.867,-4.3056,anonymous,EN-GB,52,Control - Hearing sound itself without any visualisations,3,5,5,8,13,10,8,12,12,5,5,5,2,2,4,2,5
2026-08-04 10:25:05,2026-08-04 10:31:23,IP Address,130.209.157.52,100,377,True,2026-08-04 10:31:24,R_8zibFtIg3jW4oud,,,,,55.867,-4.3056,anonymous,EN-GB,52,Arrow and Lights,3,3,4,4,14,6,7,15,15,6,2,6,2,2,6,6,7
2026-08-04 10:32:34,2026-08-04 10:37:28,IP Address,130.209.157.52,100,294,True,2026-08-04 10:37:29,R_8W0eYImha4glMwV,,,,,55.867,-4.3056,anonymous,EN-GB,52,Lights and Radar,2,5,5,5,15,6,3,16,16,7,2,6,2,4,3,3,6
2026-08-04 10:37:30,2026-08-04 10:43:46,IP Address,130.209.157.52,100,375,True,2026-08-04 10:43:47,R_2LiJacy6d2rvDiZ,,,,,55.867,-4.3056,anonymous,EN-GB,52,Lights,3,8,7,6,12,11,7,14,12,3,5,4,2,2,4,4,4
2026-08-04 10:43:48,2026-08-04 10:48:43,IP Address,130.209.157.52,100,294,True,2026-08-04 10:48:43,R_2nuvY7MrNpOZfJR,,,,,55.867,-4.3056,anonymous,EN-GB,52,Arrow and Radar,2,4,4,4,16,4,4,17,15,7,1,7,2,2,2,2,7
2026-08-04 10:49:14,2026-08-04 10:53:45,IP Address,130.209.157.52,100,271,True,2026-08-04 10:53:46,R_2rMKpC7B99GKWYg,,,,,55.867,-4.3056,anonymous,EN-GB,52,Arrow,4,8,14,8,14,12,12,12,12,5,6,3,5,3,4,4,3
2026-08-04 10:54:07,2026-08-04 10:57:26,IP Address,130.209.157.52,100,198,True,2026-08-04 10:57:27,R_8whi3lNf4Ep6AbS,,,,,55.867,-4.3056,anonymous,EN-GB,52,Radar,2,8,7,7,15,6,6,15,15,5,3,5,2,3,6,5,6
2026-08-04 16:07:53,2026-08-04 16:47:08,IP Address,130.209.157.54,100,2354,True,2026-08-04 16:47:08,R_8TVLormKmMrDWI9,,,,,55.867,-4.3056,anonymous,EN-GB,8,Arrow and Radar,0,1,5,3,16,3,0,13,12,6,1,7,1,1,5,1,6
2026-08-04 16:48:06,2026-08-04 16:56:17,IP Address,130.209.157.54,100,491,True,2026-08-04 16:56:18,R_2b2YZJx2HwphuxY,,,,,55.867,-4.3056,anonymous,EN-GB,8,Radar,1,12,15,9,11,14,16,8,11,3,5,3,5,1,3,3,3
2026-08-04 16:56:49,2026-08-04 17:04:12,IP Address,130.209.157.54,100,443,True,2026-08-04 17:04:13,R_2n0OzbE7Yrvhibn,,,,,55.867,-4.3056,anonymous,EN-GB,8,Lights and Radar,0,12,13,6,15,11,6,18,19,7,2,6,5,2,1,1,7
2026-08-04 17:06:16,2026-08-04 17:10:21,IP Address,130.209.157.54,100,244,True,2026-08-04 17:10:22,R_2X9NA3iMteTR30Z,,,,,55.867,-4.3056,anonymous,EN-GB,8,Arrow,0,1,1,0,17,2,0,20,12,7,1,7,1,5,5,4,6
2026-08-04 17:11:06,2026-08-04 17:16:44,IP Address,130.209.157.54,100,337,True,2026-08-04 17:16:44,R_2r3PKd8V5c2Zac9,,,,,55.867,-4.3056,anonymous,EN-GB,8,Control - Hearing sound itself without any visualisations,1,14,17,14,18,9,12,17,17,5,4,5,5,1,1,5,5
2026-08-04 17:18:45,2026-08-04 17:22:30,IP Address,130.209.157.54,100,225,True,2026-08-04 17:22:30,R_8BPD0IkCbE9aDud,,,,,55.867,-4.3056,anonymous,EN-GB,8,Lights,0,12,11,8,11,5,2,15,7,6,2,5,4,3,4,3,5
2026-08-04 17:23:35,2026-08-04 17:26:16,IP Address,130.209.157.54,100,160,True,2026-08-04 17:26:16,R_2uPa0CJFk7ZRx6R,,,,,55.867,-4.3056,anonymous,EN-GB,8,Arrow and Lights,0,0,0,2,20,1,0,20,20,7,1,7,1,4,3,2,7
2026-08-05 12:28:56,2026-08-05 15:04:10,IP Address,130.209.157.50,100,9314,True,2026-08-05 15:04:11,R_896ulHHAxjlWhoD,,,,,55.867,-4.3056,anonymous,EN-GB,9,Lights,1,14,2,10,18,14,12,10,18,5,3,3,4,1,3,1,5
2026-08-05 15:04:52,2026-08-05 15:09:58,IP Address,130.209.157.50,100,305,True,2026-08-05 15:09:58,R_2shnTSKkMgvrQII,,,,,55.867,-4.3056,anonymous,EN-GB,9,Arrow,1,2,2,10,20,2,2,20,20,7,1,7,1,4,4,6,7
2026-08-05 15:10:30,2026-08-05 15:14:48,IP Address,130.209.157.50,100,258,True,2026-08-05 15:14:49,R_8XaZYQ4NcP8Tvad,,,,,55.867,-4.3056,anonymous,EN-GB,9,Arrow and Lights,1,2,2,10,20,2,0,20,20,7,7,7,1,6,4,5,7
2026-08-05 15:15:21,2026-08-05 15:19:40,IP Address,130.209.157.50,100,259,True,2026-08-05 15:19:41,R_2ScnHKcEYBWip33,,,,,55.867,-4.3056,anonymous,EN-GB,9,Radar,1,11,2,10,20,2,2,20,20,6,1,7,1,1,4,1,7
2026-08-05 15:20:18,2026-08-05 15:29:07,IP Address,130.209.157.50,100,528,True,2026-08-05 15:29:07,R_2lAZeWVTZsDHZgc,,,,,55.867,-4.3056,anonymous,EN-GB,9,Control - Hearing sound itself without any visualisations,1,18,2,10,8,18,18,5,6,1,6,1,6,1,1,1,1
2026-08-05 15:29:09,2026-08-05 15:32:12,IP Address,130.209.157.50,100,182,True,2026-08-05 15:32:12,R_2xc1X6zTUGYOhwt,,,,,55.867,-4.3056,anonymous,EN-GB,9,Arrow and Radar,1,2,2,10,20,0,0,20,20,7,1,7,3,6,4,6,7
2026-08-05 15:32:36,2026-08-05 15:35:58,IP Address,130.209.157.50,100,202,True,2026-08-05 15:35:59,R_2gwNYO90lPKYTMS,,,,,55.867,-4.3056,anonymous,EN-GB,9,Lights and Radar,1,2,2,10,20,0,0,20,20,7,1,7,1,4,4,1,7
2026-08-05 16:00:48,2026-08-05 16:24:37,IP Address,130.209.157.50,100,1429,True,2026-08-05 16:24:38,R_8M4L41SsQQWiL0K,,,,,55.867,-4.3056,anonymous,EN-GB,10,Control - Hearing sound itself without any visualisations,0,3,3,5,8,12,2,7,7,2,3,3,5,2,2,2,2
2026-08-05 16:25:11,2026-08-05 16:28:16,IP Address,130.209.157.50,100,185,True,2026-08-05 16:28:17,R_2JKkhtVb6zXbohr,,,,,55.867,-4.3056,anonymous,EN-GB,10,Lights and Radar,0,2,2,2,17,16,0,15,15,6,1,6,1,2,6,5,6
2026-08-05 16:28:45,2026-08-05 16:31:47,IP Address,130.209.157.50,100,182,True,2026-08-05 16:31:47,R_2RqWPnBVTq2fV8l,,,,,55.867,-4.3056,anonymous,EN-GB,10,Arrow and Lights,0,2,2,2,17,17,2,18,17,6,5,6,2,4,3,3,6
2026-08-05 16:32:03,2026-08-05 16:35:33,IP Address,130.209.157.50,100,209,True,2026-08-05 16:35:34,R_24rvfOoA1lWa4HD,,,,,55.867,-4.3056,anonymous,EN-GB,10,Arrow and Radar,0,3,3,3,18,18,2,19,18,7,7,7,2,2,2,2,6
2026-08-05 16:35:55,2026-08-05 16:39:02,IP Address,130.209.157.50,100,186,True,2026-08-05 16:39:02,R_2QoYgqabmqrkqCB,,,,,55.867,-4.3056,anonymous,EN-GB,10,Lights,0,11,3,3,15,14,8,12,13,4,5,5,5,5,6,6,5
2026-08-05 16:39:21,2026-08-05 16:42:05,IP Address,130.209.157.50,100,163,True,2026-08-05 16:42:06,R_8zvkvtSvAiubaf9,,,,,55.867,-4.3056,anonymous,EN-GB,10,Radar,0,4,4,4,18,4,5,17,17,6,2,6,2,2,2,2,6
2026-08-05 16:42:27,2026-08-05 16:45:33,IP Address,130.209.157.50,100,186,True,2026-08-05 16:45:34,R_2JGAetpRUzVSWI1,,,,,55.867,-4.3056,anonymous,EN-GB,10,Arrow,0,1,2,2,18,3,2,18,18,6,1,7,2,1,1,1,6
2026-08-06 11:59:34,2026-08-06 12:40:55,IP Address,130.209.157.51,100,2481,True,2026-08-06 12:40:56,R_2CPCJKHAVBXUZnW,,,,,55.867,-4.3056,anonymous,EN-GB,11,Radar,0,1,1,1,20,3,0,18,20,6,2,6,2,1,1,2,6
2026-08-06 12:41:30,2026-08-06 12:47:21,IP Address,130.209.157.51,100,351,True,2026-08-06 12:47:22,R_2sOvy6UX9XWYyop,,,,,55.867,-4.3056,anonymous,EN-GB,11,Arrow and Radar,0,4,1,1,20,1,1,19,18,3,5,3,1,6,5,5,5
2026-08-06 12:47:39,2026-08-06 12:52:05,IP Address,130.209.157.51,100,266,True,2026-08-06 12:52:05,R_8qP3w4eMYCymPxg,,,,,55.867,-4.3056,anonymous,EN-GB,11,Arrow,0,7,10,5,20,8,5,9,19,2,6,2,5,6,3,5,3
2026-08-06 12:52:21,2026-08-06 13:00:08,IP Address,130.209.157.51,100,467,True,2026-08-06 13:00:09,R_8MulVm52CdoUMBQ,,,,,55.867,-4.3056,anonymous,EN-GB,11,Lights and Radar,1,11,4,8,16,13,4,14,17,5,2,4,6,3,5,3,5
2026-08-06 13:00:11,2026-08-06 13:04:35,IP Address,130.209.157.51,100,264,True,2026-08-06 13:04:35,R_2CktSRlPvEm3Ehj,,,,,55.867,-4.3056,anonymous,EN-GB,11,Lights,0,6,2,7,20,6,1,16,19,6,2,5,2,3,5,2,6
2026-08-06 13:04:37,2026-08-06 13:09:57,IP Address,130.209.157.51,100,319,True,2026-08-06 13:09:57,R_2CeyGfPPUQxmClx,,,,,55.867,-4.3056,anonymous,EN-GB,11,Control - Hearing sound itself without any visualisations,1,12,14,7,17,12,5,13,16,5,4,5,3,1,3,2,6
2026-08-06 13:10:00,2026-08-06 13:14:47,IP Address,130.209.157.51,100,287,True,2026-08-06 13:14:47,R_2n2yp8VXKtwvvxQ,,,,,55.867,-4.3056,anonymous,EN-GB,11,Arrow and Lights,1,6,4,1,18,5,8,19,19,5,5,5,2,5,5,6,5
2026-08-07 13:48:53,2026-08-07 14:27:11,IP Address,130.209.157.52,100,2297,True,2026-08-07 14:27:11,R_2CNgpMOMtzVhhNB,,,,,55.867,-4.3056,anonymous,EN-GB,13,Lights,4,5,8,10,0,10,15,10,5,2,6,2,6,1,1,1,2
2026-08-07 14:27:16,2026-08-07 14:28:43,IP Address,130.209.157.52,100,87,True,2026-08-07 14:28:44,R_8gAzVvXhSHhTWiB,,,,,55.867,-4.3056,anonymous,EN-GB,13,Arrow and Lights,4,5,10,5,15,10,12,18,11,5,3,4,4,3,3,3,5
2026-08-07 14:29:09,2026-08-07 14:33:18,IP Address,130.209.157.52,100,249,True,2026-08-07 14:33:19,R_8QklRHt2RFgRlw5,,,,,55.867,-4.3056,anonymous,EN-GB,13,Arrow,4,5,12,5,18,12,10,20,15,6,3,6,4,2,2,2,6
2026-08-07 14:36:16,2026-08-07 14:42:17,IP Address,130.209.157.52,100,361,True,2026-08-07 14:42:17,R_2Xjsgst1DhAsmhF,,,,,55.867,-4.3056,anonymous,EN-GB,13,Control - Hearing sound itself without any visualisations,4,12,14,5,15,15,10,15,17,4,4,4,4,1,1,1,4
2026-08-07 14:43:06,2026-08-07 14:47:22,IP Address,130.209.157.52,100,255,True,2026-08-07 14:47:22,R_2HtM3xvo5RD96jn,,,,,55.867,-4.3056,anonymous,EN-GB,13,Radar,4,12,15,5,16,15,13,16,11,4,5,4,5,2,2,2,4
2026-08-07 14:49:35,2026-08-07 14:53:25,IP Address,130.209.157.52,100,229,True,2026-08-07 14:53:26,R_2d7fxUV4C4TTnw9,,,,,55.867,-4.3056,anonymous,EN-GB,13,Lights and Radar,4,11,14,5,15,12,11,17,17,5,3,5,3,3,2,2,6
2026-08-07 14:54:42,2026-08-07 14:57:28,IP Address,130.209.157.52,100,166,True,2026-08-07 14:57:29,R_22PbKh9JBu8dgOm,,,,,55.867,-4.3056,anonymous,EN-GB,13,Arrow and Radar,4,12,15,5,15,13,12,16,14,3,4,3,4,5,4,5,4
2026-08-18 20:13:31,2026-08-18 20:24:52,IP Address,82.3.8.157,100,680,True,2026-08-18 20:24:53,R_8pG7pup093qdJTC,,,,,55.9139,-4.3311,anonymous,EN-GB,54,Lights and Radar,1,2,0,0,19,2,4,18,11,4,4,4,3,4,3,3,5
2026-08-18 20:25:49,2026-08-18 20:29:37,IP Address,82.3.8.157,100,228,True,2026-08-18 20:29:37,R_2iPzeFiWLclRdp1,,,,,55.9139,-4.3311,anonymous,EN-GB,54,Control - Hearing sound itself without any visualisations,2,4,0,0,13,5,3,16,16,4,5,4,2,1,1,1,2
2026-08-18 20:30:22,2026-08-18 20:34:19,IP Address,82.3.8.157,100,236,True,2026-08-18 20:34:19,R_2t82QZXagRbKhbj,,,,,55.9139,-4.3311,anonymous,EN-GB,54,Lights,1,1,0,0,20,1,2,18,19,4,5,5,1,2,2,2,5
2026-08-18 20:35:27,2026-08-18 20:41:17,IP Address,82.3.8.157,100,350,True,2026-08-18 20:41:17,R_8N9BekiIKeeXvdJ,,,,,55.9139,-4.3311,anonymous,EN-GB,54,Arrow and Lights,1,1,0,0,18,2,3,18,17,5,4,5,2,3,5,5,5
2026-08-18 20:42:11,2026-08-18 20:44:58,IP Address,82.3.8.157,100,166,True,2026-08-18 20:44:58,R_2AIdmmU46KqOIxz,,,,,55.9139,-4.3311,anonymous,EN-GB,54,Radar,1,2,0,0,18,4,4,17,17,5,3,5,2,2,2,2,5
2026-08-18 20:45:28,2026-08-18 20:49:47,IP Address,82.3.8.157,100,259,True,2026-08-18 20:49:47,R_2j268de8WufbVPb,,,,,55.9139,-4.3311,anonymous,EN-GB,54,Lights,3,3,0,0,0,3,3,15,14,4,5,3,2,5,5,5,5
2026-08-18 20:50:09,2026-08-18 20:52:33,IP Address,82.3.8.157,100,144,True,2026-08-18 20:52:33,R_82Exz823vFcw3CI,,,,,55.9139,-4.3311,anonymous,EN-GB,54,Arrow,1,1,0,0,17,3,5,17,17,5,3,5,1,3,3,3,5
2026-08-20 15:16:18,2026-08-20 15:37:39,IP Address,82.3.8.157,100,1280,True,2026-08-20 15:37:39,R_2nc1bOd9y6yTNmp,,,,,55.9139,-4.3311,anonymous,EN-GB,15,Radar,1,2,1,0,20,1,0,19,19,6,1,7,1,1,1,1,6
2026-08-20 15:38:46,2026-08-20 15:43:30,IP Address,82.3.8.157,100,283,True,2026-08-20 15:43:31,R_8kOpi4uYAhR8PW9,,,,,55.9139,-4.3311,anonymous,EN-GB,15,Arrow,2,1,2,0,18,2,1,18,17,5,2,6,2,5,5,5,6
2026-08-20 15:43:45,2026-08-20 15:47:12,IP Address,82.3.8.157,100,207,True,2026-08-20 15:47:13,R_2L23mexqYMIWRKi,,,,,55.9139,-4.3311,anonymous,EN-GB,15,Arrow and Radar,1,1,1,0,19,1,0,19,19,6,1,6,1,2,3,2,6
2026-08-20 15:49:25,2026-08-20 15:52:39,IP Address,82.3.8.157,100,193,True,2026-08-20 15:52:39,R_2YngnK3L6PvGYa5,,,,,55.9139,-4.3311,anonymous,EN-GB,15,Lights,1,1,1,0,18,1,1,18,18,5,2,6,1,3,2,2,6
2026-08-20 15:55:06,2026-08-20 15:57:11,IP Address,82.3.8.157,100,125,True,2026-08-20 15:57:12,R_2fpbdF3ougr9kQh,,,,,55.9139,-4.3311,anonymous,EN-GB,15,Lights and Radar,1,1,1,0,20,1,0,20,19,7,1,7,1,2,2,2,7
2026-08-20 15:57:37,2026-08-20 16:01:13,IP Address,82.3.8.157,100,215,True,2026-08-20 16:01:13,R_2aDBXiGXdS3I1Bn,,,,,55.9139,-4.3311,anonymous,EN-GB,15,Arrow and Lights,1,1,1,0,20,1,0,19,18,6,1,6,1,2,3,3,6
2026-08-20 16:02:55,2026-08-20 16:06:45,IP Address,82.3.8.157,100,230,True,2026-08-20 16:06:46,R_825v0asLLrOjuUm,,,,,55.9139,-4.3311,anonymous,EN-GB,15,Control - Hearing sound itself without any visualisations,2,3,2,4,17,3,2,17,18,3,4,5,5,1,2,2,5
