StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3_1,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5_1,Q5_2,Q5_3,Q6_1,Q7,Q8
2026-02-22 13:53:42,2026-02-22 13:57:24,IP Address,82.4.26.160,100,221,True,2026-02-22 13:57:24,R_8DndtxeJ2jtgDCN,,,,,55.9335,-3.254,anonymous,EN-GB,4,Arrow,3,14,5,6,10,9,4,7,5,6,3,,
2026-02-22 14:01:44,2026-02-22 14:05:52,IP Address,82.4.26.160,100,247,True,2026-02-22 14:05:53,R_86ijOJOmuo1K0H7,,,,,55.9335,-3.254,anonymous,EN-GB,4,Arrow and Lights,1,7,2,6,14,7,0,5,3,4,5,,
2026-02-22 14:06:15,2026-02-22 14:14:02,IP Address,82.4.26.160,100,467,True,2026-02-22 14:14:02,R_8aIy1K0QwS2WOGd,,,,,55.9335,-3.254,anonymous,EN-GB,4,Arrow and Radar,1,14,7,6,11,13,4,6,6,7,3,"Quite visually overwhelming, harder on the eyes and harder to know how accurate without the green lights.",
2026-02-22 14:16:27,2026-02-22 14:16:44,IP Address,82.4.26.160,100,17,True,2026-02-22 14:16:44,R_8Aitn5rg8ktGyJz,,,,,55.9335,-3.254,anonymous,EN-GB,4,Lights and Radar,2,15,4,12,13,13,2,7,6,2,3,,
2026-02-25 10:08:19,2026-02-25 11:40:26,IP Address,130.209.157.48,100,5526,True,2026-02-25 11:40:27,R_2d6SiA2zSsh1TXX,,,,,55.867,-4.2621,anonymous,EN-GB,6,Arrow,1,2,0,1,18,2,1,1,2,4,7,no pretty straightforward,more vibrant colour change
2026-02-25 11:41:32,2026-02-25 11:47:35,IP Address,130.209.157.48,100,363,True,2026-02-25 11:47:35,R_8QfUnxM3E0Wxaur,,,,,55.867,-4.2621,anonymous,EN-GB,6,Lights,1,7,3,3,16,6,5,2,2,3,5,"not as intuitive, or precises",more smooth gradient
2026-02-25 11:49:27,2026-02-25 11:54:35,IP Address,130.209.157.48,100,308,True,2026-02-25 11:54:36,R_2xhb5ok6i97EiIh,,,,,55.867,-4.2621,anonymous,EN-GB,6,Radar,1,1,0,0,19,0,1,3,2,2,7,no,"maybe more vibrant colour change, and smoother animation"
2026-02-25 11:55:51,2026-02-25 11:59:32,IP Address,130.209.157.48,100,220,True,2026-02-25 11:59:32,R_2fmg9UCo2a7RNZK,,,,,55.867,-4.2621,anonymous,EN-GB,6,Arrow and Radar,1,1,2,1,19,1,0,7,5,6,6,no,no
2026-02-25 12:00:07,2026-02-25 12:05:28,IP Address,130.209.157.48,100,321,True,2026-02-25 12:05:29,R_29nVKlzkxKc43cf,,,,,55.867,-4.2621,anonymous,EN-GB,6,Lights and Radar,1,3,1,1,19,3,2,5,5,3,6,no,no
2026-02-25 12:05:57,2026-02-25 12:11:31,IP Address,130.209.157.48,100,334,True,2026-02-25 12:11:31,R_2iONPv3gE2Wqmnk,,,,,55.867,-4.2621,anonymous,EN-GB,6,Arrow and Lights,1,2,2,0,19,1,1,5,5,5,6,no,no
2026-02-25 12:35:54,2026-02-25 12:42:34,IP Address,130.209.157.48,100,399,True,2026-02-25 12:42:34,R_2QfUX0OtWv1ye3h,,,,,55.867,-4.2621,anonymous,EN-GB,7,Lights,2,2,1,5,19,12,1,2,3,1,7,Extra steps were needed to confirm when i was at the source of the sound,A distinct image for when the sound is 'within arms reach'
2026-02-25 12:42:36,2026-02-25 12:49:40,IP Address,130.209.157.48,100,423,True,2026-02-25 12:49:41,R_8tbey9ovbeO3ur7,,,,,55.867,-4.2621,anonymous,EN-GB,7,Arrow,2,1,1,3,19,8,1,3,3,5,7,no,The arrow jittering was a little too visually stimulating and although clear took up a bit too much of my field of view
2026-02-25 12:49:42,2026-02-25 12:55:20,IP Address,130.209.157.48,100,337,True,2026-02-25 12:55:20,R_8UWmZTK5xLdd6Mr,,,,,55.867,-4.2621,anonymous,EN-GB,7,Radar,1,2,1,3,20,8,0,1,1,2,7,If the sound source was in a wall the green would disappear from the radar,A more distinct visual change when reaching the sound location
2026-02-25 12:57:14,2026-02-25 13:01:04,IP Address,130.209.157.48,100,229,True,2026-02-25 13:01:04,R_8YuxfrSL9eLQPip,,,,,55.867,-4.2621,anonymous,EN-GB,7,Lights and Radar,1,2,1,3,19,11,0,2,3,3,7,no,no
2026-02-25 13:01:35,2026-02-25 13:09:06,IP Address,130.209.157.48,100,451,True,2026-02-25 13:09:07,R_8FEAGs6NM4gqjRI,,,,,55.867,-4.2621,anonymous,EN-GB,7,Arrow and Radar,1,2,1,3,19,11,1,5,4,5,7,The Arrow was useful for confirming exact location once close but was lowkey visually distracting most of the time,The arrow acts as a stronger visual confirmation but i think a less distracting option would be better
2026-02-25 13:09:46,2026-02-25 13:13:47,IP Address,130.209.157.48,100,241,True,2026-02-25 13:13:48,R_8EDVItlMxQ9FRct,,,,,55.867,-4.2621,anonymous,EN-GB,7,Arrow and Lights,1,1,1,3,20,12,1,5,5,5,7,,Arrow is too distracting
2026-02-25 14:39:55,2026-02-25 14:47:42,IP Address,130.209.157.48,100,466,True,2026-02-25 14:47:43,R_87lYAjewdiBRHrZ,,,,,55.8557,-4.2104,anonymous,EN-GB,8,Lights,2,1,2,3,20,8,0,1,1,1,7,no,increasing the amount discrete levels when approaching the target making it easier to locate the sound
2026-02-25 14:48:27,2026-02-25 14:51:58,IP Address,130.209.157.48,100,210,True,2026-02-25 14:51:59,R_2PsYmfyIoUJlTm5,,,,,55.867,-4.2621,anonymous,EN-GB,8,Radar,0,0,1,2,20,3,0,1,1,1,7,no,no
2026-02-25 14:52:32,2026-02-25 14:58:10,IP Address,130.209.157.48,100,337,True,2026-02-25 14:58:10,R_82nyrGo1dVYaMIp,,,,,55.867,-4.2621,anonymous,EN-GB,8,Arrow,0,1,0,4,20,5,0,1,1,1,7,no,have some sort of indication when the arrow is out of view of the user (when arrow goes behind the person)
2026-02-25 14:58:17,2026-02-25 15:02:52,IP Address,130.209.157.48,100,275,True,2026-02-25 15:02:53,R_23VjkJhZ3Bu36tb,,,,,55.867,-4.2621,anonymous,EN-GB,8,Lights and Radar,1,1,0,4,20,20,0,1,2,1,7,no,no
2026-02-25 15:03:21,2026-02-25 15:07:23,IP Address,130.209.157.48,100,241,True,2026-02-25 15:07:23,R_2doVUBruJS5NLy4,,,,,55.867,-4.2621,anonymous,EN-GB,8,Arrow and Lights,1,1,0,4,20,6,0,1,2,2,7,no,no
2026-02-25 15:08:50,2026-02-25 15:11:58,IP Address,130.209.157.48,100,188,True,2026-02-25 15:11:59,R_8IbmTlxa3bqaFF2,,,,,55.867,-4.2621,anonymous,EN-GB,8,Arrow and Radar,1,1,0,4,20,4,0,2,2,2,7,no,no
2026-02-26 20:12:03,2026-02-27 10:31:44,IP Address,92.40.192.78,100,51580,True,2026-02-27 10:31:44,R_81ek2JZGI6LoJXz,,,,,55.9139,-4.3311,anonymous,EN-GB,9,Radar,1,6,1,1,18,2,1,1,1,1,6,,
2026-02-27 10:32:35,2026-02-27 10:38:30,IP Address,130.209.157.53,100,354,True,2026-02-27 10:38:30,R_20CCjsQNBl5M2U9,,,,,55.8557,-4.2104,anonymous,EN-GB,9,Arrow,0,3,2,2,19,4,0,2,2,3,7,,
2026-02-27 10:38:32,2026-02-27 10:44:45,IP Address,130.209.157.53,100,372,True,2026-02-27 10:44:45,R_2PFD5uep9aYRgXy,,,,,55.867,-4.2621,anonymous,EN-GB,9,Lights,2,7,6,2,15,8,10,4,2,4,5,,
2026-02-27 10:45:10,2026-02-27 10:49:22,IP Address,130.209.157.53,100,252,True,2026-02-27 10:49:22,R_2pzDaKJcvLvmo0h,,,,,55.867,-4.2621,anonymous,EN-GB,9,Arrow and Lights,2,7,5,2,18,6,3,5,3,5,7,,
2026-02-27 10:50:26,2026-02-27 10:53:32,IP Address,130.209.157.53,100,185,True,2026-02-27 10:53:32,R_2fg2I2noL9vXjFN,,,,,55.867,-4.2621,anonymous,EN-GB,9,Arrow and Radar,0,4,2,2,19,5,5,2,2,3,7,,
2026-02-27 10:53:57,2026-02-27 10:57:10,IP Address,130.209.157.53,100,193,True,2026-02-27 10:57:11,R_2dYZPIhUhBrdMsx,,,,,55.867,-4.2621,anonymous,EN-GB,9,Lights and Radar,0,2,2,2,18,5,3,2,2,2,7,,
2026-02-27 14:36:53,2026-02-27 14:44:36,IP Address,130.209.157.48,100,463,True,2026-02-27 14:44:36,R_2mORKiw7FeN1SyE,,,,,55.867,-4.2621,anonymous,EN-GB,10,Arrow,2,4,3,6,16,8,2,5,3,3,5,,
2026-02-27 14:44:47,2026-02-27 14:50:45,IP Address,130.209.157.48,100,357,True,2026-02-27 14:50:46,R_8j6ucoExCIkTz7D,,,,,55.867,-4.2621,anonymous,EN-GB,10,Radar,2,10,9,7,13,7,6,6,5,4,6,,
2026-02-27 14:52:09,2026-02-27 14:57:12,IP Address,130.209.157.48,100,302,True,2026-02-27 14:57:12,R_84gReLBhaBoyFWh,,,,,55.867,-4.2621,anonymous,EN-GB,10,Lights,2,13,7,8,12,12,5,4,4,4,5,,
2026-02-27 14:57:42,2026-02-27 15:05:19,IP Address,130.209.157.48,100,457,True,2026-02-27 15:05:20,R_8IcSZQmg8NuCZNL,,,,,55.867,-4.2621,anonymous,EN-GB,10,Arrow and Radar,2,10,7,6,10,7,2,4,3,2,6,,
2026-02-27 15:05:32,2026-02-27 15:10:51,IP Address,130.209.157.48,100,318,True,2026-02-27 15:10:52,R_2oI524ZEa4ceUZB,,,,,55.867,-4.2621,anonymous,EN-GB,10,Arrow and Lights,2,10,5,4,15,6,3,4,3,2,6,,
2026-02-27 15:11:13,2026-02-27 15:15:57,IP Address,130.209.157.48,100,284,True,2026-02-27 15:15:58,R_2lnRIdiTyfmxANA,,,,,55.867,-4.2621,anonymous,EN-GB,10,Lights and Radar,2,10,5,5,16,11,2,5,5,2,6,,
2026-02-28 15:04:48,2026-02-28 15:24:12,IP Address,92.40.193.175,100,1164,True,2026-02-28 15:24:13,R_8MukTz3kIkS7gQh,,,,,55.9139,-4.3311,anonymous,EN-GB,12,Arrow,2,3,4,5,20,2,2,2,1,6,5,No,No
2026-02-28 15:27:00,2026-02-28 15:33:32,IP Address,92.40.193.179,100,391,True,2026-02-28 15:33:32,R_2jy19mSc2NlI1Lz,,,,,55.8557,-4.2104,anonymous,EN-GB,12,Lights,2,3,3,5,16,5,2,3,3,6,5,,
2026-02-28 15:38:18,2026-02-28 15:41:06,IP Address,82.3.8.157,100,167,True,2026-02-28 15:41:07,R_2iqxujAYyYT0Dee,,,,,55.9139,-4.3311,anonymous,EN-GB,12,Radar,2,2,2,5,20,2,2,2,1,7,7,,
2026-02-28 15:43:09,2026-02-28 15:47:27,IP Address,82.3.8.157,100,257,True,2026-02-28 15:47:27,R_2dioe1Q6Z2Bf0vY,,,,,55.9139,-4.3311,anonymous,EN-GB,12,Arrow and Radar,2,2,3,5,20,2,0,1,1,7,7,,
2026-02-28 15:48:11,2026-02-28 15:52:21,IP Address,82.3.8.157,100,250,True,2026-02-28 15:52:22,R_2ezsfyuskDQ0vJe,,,,,55.9139,-4.3311,anonymous,EN-GB,12,Lights and Radar,3,2,3,5,19,2,0,1,1,7,7,,
2026-02-28 15:53:51,2026-02-28 16:02:34,IP Address,82.3.8.157,100,523,True,2026-02-28 16:02:35,R_8uJbJ6JYi3rTvnC,,,,,55.9139,-4.3311,anonymous,EN-GB,12,Arrow and Lights,3,3,3,5,17,4,1,3,2,6,6,,
2026-02-28 16:36:37,2026-02-28 16:46:05,IP Address,82.3.8.157,100,568,True,2026-02-28 16:46:05,R_2QYlr33tobQFkNL,,,,,55.9139,-4.3311,anonymous,EN-GB,13,Lights,2,5,2,4,17,5,3,3,3,5,3,,
2026-02-28 16:47:24,2026-02-28 16:55:24,IP Address,82.3.8.157,100,480,True,2026-02-28 16:55:25,R_8b1I6r27Wkg5cNH,,,,,55.9139,-4.3311,anonymous,EN-GB,13,Arrow,2,5,6,5,10,8,12,3,3,5,4,,
2026-02-28 16:55:27,2026-02-28 17:00:32,IP Address,82.3.8.157,100,305,True,2026-02-28 17:00:33,R_8FaDCumoEYXh0Vr,,,,,55.9139,-4.3311,anonymous,EN-GB,13,Radar,3,4,5,5,17,14,10,3,3,5,6,,
2026-02-28 17:01:20,2026-02-28 17:05:06,IP Address,82.3.8.157,100,226,True,2026-02-28 17:05:07,R_2eSF5Bqq2xGVkkN,,,,,55.9139,-4.3311,anonymous,EN-GB,13,Lights and Radar,3,3,4,6,19,4,6,3,3,3,6,,
2026-02-28 17:06:09,2026-02-28 17:10:04,IP Address,82.3.8.157,100,235,True,2026-02-28 17:10:04,R_8E9PFcpeWkZVkeJ,,,,,55.9139,-4.3311,anonymous,EN-GB,13,Arrow and Radar,3,6,6,5,17,6,8,3,3,5,5,,
2026-02-28 17:10:55,2026-02-28 17:16:11,IP Address,82.3.8.157,100,316,True,2026-02-28 17:16:12,R_2fV4LZUfkFm42TN,,,,,55.9139,-4.3311,anonymous,EN-GB,13,Arrow and Lights,4,5,7,4,10,6,13,5,3,4,2,"lights didnt seem to synchronise with the arrow.
How am I supposed to know if im successful",
